Player,2017_Team,2017_Yards,2017_YardsRun,2017_Targets,2017_YardsPerRoute,2017_OpenScore,2017_CatchScore,2017_YACScore,2017_Overall,2018_Team,2018_Yards,2018_YardsRun,2018_Targets,2018_YardsPerRoute,2018_OpenScore,2018_CatchScore,2018_YACScore,2018_Overall,2019_Team,2019_Yards,2019_YardsRun,2019_Targets,2019_YardsPerRoute,2019_OpenScore,2019_CatchScore,2019_YACScore,2019_Overall,2020_Team,2020_Yards,2020_YardsRun,2020_Targets,2020_YardsPerRoute,2020_OpenScore,2020_CatchScore,2020_YACScore,2020_Overall,2021_Team,2021_Yards,2021_YardsRun,2021_Targets,2021_YardsPerRoute,2021_OpenScore,2021_CatchScore,2021_YACScore,2021_Overall,2022_Team,2022_Yards,2022_YardsRun,2022_Targets,2022_YardsPerRoute,2022_OpenScore,2022_CatchScore,2022_YACScore,2022_Overall
A.J. Brown,,,,,,,,,,,,,,,,,,,Titans,"1,115.00",395.00,89.00,2.80,80.00,53.00,97.00,92.00,Titans,"1,158.00",399.00,112.00,2.90,72.00,64.00,76.00,82.00,Titans,"1,011.00",321.00,109.00,3.10,99.00,36.00,53.00,78.00,Eagles,"1,642.00",592.00,161.00,2.80,92.00,61.00,62.00,88.00
A.J. Green,Bengals,"1,078.00",425.00,140.00,2.50,70.00,55.00,44.00,63.00,Bengals,694.00,257.00,77.00,2.70,59.00,44.00,48.00,52.00,,,,,,,,,,Bengals,523.00,457.00,104.00,1.10,33.00,23.00,52.00,27.00,Cardinals,848.00,461.00,91.00,1.80,52.00,45.00,44.00,46.00,,,,,,,,,
Adam Humphries,Buccaneers,631.00,421.00,65.00,1.50,43.00,53.00,42.00,43.00,Buccaneers,816.00,523.00,90.00,1.60,48.00,31.00,53.00,41.00,,,,,,,,,,,,,,,,,,,Commanders,383.00,395.00,57.00,1.00,44.00,45.00,42.00,40.00,,,,,,,,,
Adam Thielen,Vikings,"1,378.00",567.00,154.00,2.40,52.00,67.00,47.00,59.00,Vikings,"1,373.00",549.00,139.00,2.50,50.00,79.00,49.00,64.00,Vikings,597.00,241.00,63.00,2.50,68.00,62.00,43.00,64.00,Vikings,925.00,435.00,103.00,2.10,67.00,69.00,48.00,69.00,Vikings,726.00,374.00,87.00,1.90,63.00,79.00,47.00,71.00,Vikings,766.00,640.00,111.00,1.20,54.00,69.00,29.00,52.00
Albert Wilson,Chiefs,580.00,314.00,51.00,1.80,43.00,34.00,54.00,39.00,,,,,,,,,,Dolphins,351.00,282.00,56.00,1.20,52.00,34.00,45.00,41.00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alec Pierce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Colts,593.00,438.00,75.00,1.40,38.00,51.00,44.00,40.00
Alex Erickson,,,,,,,,,,,,,,,,,,,Bengals,529.00,342.00,72.00,1.50,36.00,32.00,78.00,45.00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allen Hurns,Jaguars,576.00,321.00,62.00,1.80,41.00,66.00,34.00,46.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allen Lazard,,,,,,,,,,,,,,,,,,,Packers,513.00,276.00,50.00,1.90,70.00,54.00,38.00,60.00,Packers,609.00,280.00,56.00,2.20,61.00,34.00,60.00,54.00,Packers,519.00,387.00,54.00,1.30,41.00,59.00,39.00,44.00,Packers,788.00,423.00,95.00,1.90,64.00,36.00,34.00,45.00
Allen Robinson,,,,,,,,,,Bears,897.00,412.00,102.00,2.20,42.00,66.00,55.00,55.00,Bears,"1,147.00",538.00,144.00,2.10,55.00,85.00,41.00,67.00,Bears,"1,305.00",560.00,148.00,2.30,65.00,70.00,39.00,64.00,Bears,410.00,326.00,65.00,1.30,40.00,47.00,46.00,40.00,Rams,339.00,308.00,51.00,1.10,65.00,59.00,25.00,53.00
Alshon Jeffery,Eagles,"1,008.00",583.00,135.00,1.70,55.00,70.00,60.00,67.00,Eagles,988.00,474.00,98.00,2.10,44.00,79.00,56.00,63.00,Eagles,490.00,257.00,69.00,1.90,61.00,39.00,38.00,46.00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amari Cooper,Raiders,680.00,390.00,89.00,1.70,60.00,5.00,55.00,36.00,Cowboys,"1,176.00",528.00,116.00,2.20,72.00,69.00,67.00,81.00,Cowboys,"1,189.00",467.00,119.00,2.50,54.00,71.00,47.00,61.00,Cowboys,"1,114.00",538.00,127.00,2.10,64.00,66.00,51.00,68.00,Cowboys,929.00,507.00,109.00,1.80,58.00,83.00,46.00,69.00,Browns,"1,160.00",522.00,129.00,2.20,54.00,77.00,53.00,67.00
Amon-Ra St. Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lions,912.00,447.00,108.00,2.00,58.00,74.00,53.00,68.00,Lions,"1,161.00",426.00,131.00,2.70,67.00,57.00,46.00,62.00
Anthony Firkser,,,,,,,,,,,,,,,,,,,,,,,,,,,,Titans,431.00,230.00,55.00,1.90,26.00,61.00,49.00,39.00,,,,,,,,,,,,,,,,,,
Anthony Miller,,,,,,,,,,Bears,457.00,347.00,54.00,1.30,59.00,43.00,59.00,56.00,Bears,656.00,405.00,77.00,1.60,52.00,33.00,37.00,37.00,Bears,507.00,400.00,74.00,1.30,51.00,53.00,39.00,47.00,,,,,,,,,,,,,,,,,,
Antonio Brown,Steelers,"1,665.00",502.00,162.00,3.30,92.00,88.00,56.00,98.00,Steelers,"1,297.00",556.00,144.00,2.30,60.00,51.00,56.00,59.00,,,,,,,,,,Buccaneers,564.00,253.00,52.00,2.20,58.00,52.00,55.00,59.00,Buccaneers,545.00,161.00,52.00,3.40,85.00,57.00,41.00,71.00,,,,,,,,,
Antonio Callaway,,,,,,,,,,Browns,586.00,421.00,68.00,1.40,63.00,30.00,53.00,50.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antonio Gates,Chargers,316.00,287.00,52.00,1.10,28.00,53.00,31.00,29.00,Chargers,409.00,262.00,52.00,1.60,35.00,52.00,41.00,37.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Auden Tate,,,,,,,,,,,,,,,,,,,Bengals,575.00,359.00,76.00,1.60,20.00,54.00,52.00,34.00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austin Hooper,Falcons,544.00,388.00,66.00,1.40,43.00,51.00,53.00,47.00,Falcons,660.00,433.00,85.00,1.50,29.00,84.00,44.00,51.00,Falcons,787.00,421.00,86.00,1.90,44.00,70.00,49.00,56.00,Browns,497.00,293.00,76.00,1.70,57.00,58.00,35.00,51.00,Browns,345.00,255.00,55.00,1.40,39.00,35.00,44.00,33.00,Titans,444.00,311.00,60.00,1.40,56.00,66.00,41.00,57.00
Austin Seferian-Jenkins,Jets,357.00,315.00,70.00,1.10,30.00,55.00,37.00,34.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ben Skowronek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rams,376.00,366.00,58.00,1.00,60.00,53.00,31.00,49.00
Benjamin Watson,Ravens,522.00,352.00,74.00,1.50,35.00,55.00,38.00,38.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bennie Fowler,Broncos,350.00,324.00,55.00,1.10,34.00,50.00,52.00,40.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brandin Cooks,Patriots,"1,237.00",643.00,119.00,1.90,60.00,48.00,38.00,50.00,Rams,"1,496.00",566.00,120.00,2.60,50.00,64.00,49.00,56.00,Rams,583.00,382.00,63.00,1.50,45.00,49.00,48.00,46.00,Texans,"1,150.00",504.00,110.00,2.30,69.00,57.00,52.00,67.00,Texans,"1,037.00",439.00,115.00,2.40,54.00,66.00,48.00,60.00,Texans,699.00,387.00,84.00,1.80,49.00,50.00,33.00,42.00
Brandon Aiyuk,,,,,,,,,,,,,,,,,,,,,,,,,,,,49ers,748.00,375.00,83.00,2.00,53.00,48.00,66.00,58.00,49ers,961.00,483.00,91.00,2.00,51.00,68.00,63.00,66.00,49ers,"1,124.00",546.00,116.00,2.10,81.00,62.00,54.00,77.00
Brandon LaFell,Bengals,548.00,431.00,73.00,1.30,29.00,27.00,43.00,22.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Braxton Berrios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jets,431.00,219.00,54.00,2.00,39.00,60.00,47.00,47.00,,,,,,,,,
Breshad Perriman,,,,,,,,,,,,,,,,,,,Buccaneers,645.00,396.00,63.00,1.60,48.00,64.00,27.00,46.00,Jets,505.00,311.00,53.00,1.60,50.00,35.00,55.00,45.00,,,,,,,,,,,,,,,,,,
Bruce Ellington,Texans,330.00,306.00,55.00,1.10,41.00,43.00,41.00,37.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bryan Edwards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Raiders,612.00,464.00,60.00,1.30,37.00,48.00,65.00,48.00,,,,,,,,,
Byron Pringle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chiefs,650.00,425.00,74.00,1.50,44.00,53.00,50.00,48.00,,,,,,,,,
C.J. Uzomah,,,,,,,,,,Bengals,439.00,379.00,61.00,1.20,13.00,63.00,47.00,32.00,,,,,,,,,,,,,,,,,,,Bengals,639.00,505.00,76.00,1.30,36.00,30.00,62.00,37.00,,,,,,,,,
Cade Otton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Buccaneers,449.00,451.00,66.00,1.00,53.00,28.00,47.00,40.00
Calvin Ridley,,,,,,,,,,Falcons,821.00,415.00,83.00,2.00,70.00,43.00,52.00,60.00,Falcons,866.00,452.00,91.00,1.90,56.00,73.00,42.00,62.00,Falcons,"1,374.00",512.00,141.00,2.70,90.00,63.00,49.00,81.00,,,,,,,,,,,,,,,,,,
Cam Sims,,,,,,,,,,,,,,,,,,,,,,,,,,,,Commanders,581.00,388.00,57.00,1.50,23.00,52.00,70.00,43.00,,,,,,,,,,,,,,,,,,
Cameron Brate,Buccaneers,591.00,350.00,76.00,1.70,24.00,56.00,34.00,29.00,,,,,,,,,,Buccaneers,311.00,252.00,53.00,1.20,29.00,57.00,40.00,36.00,Buccaneers,457.00,197.00,52.00,2.30,53.00,68.00,30.00,52.00,Buccaneers,283.00,296.00,58.00,1.00,32.00,36.00,37.00,26.00,,,,,,,,,
